,제목,개봉년도,요약,줄거리
0,007 노 타임 투 다이,2021,,
1,117편의 러브레터,2021,,
2,120시간: 로스트 인 아웃백,2021,,
3,1984 최동원,2021,,
4,"2021 스웨그 에이지 : 외쳐, 조선!",2021,‘시조’가 국가의 이념인 상상 속의 ‘조선’,"삶의 고단함과 역경을 시조 속에 담아 훌훌 털어버렸던 백성들은 역모 사건으로 시조 활동이 금지되면서 자유도 행복도 잊은 채 살아간다.그러던 중 15년 만에 누구나 참여할 수 있는 조선시조자랑이 열리게 되고, 탈 속에 정체를 감추고 양반들의 악행을 파헤쳐 행복한 세상을 만들고자 조직된 비밀시조단 ‘골빈당’은 이것을 기회 삼아 조선에 새로운 바람을 불러일으키고자 한다.한편, 왕의 비선실세이자 시조대판서인 홍국은 자신에 대한 악덕한 소문을 퍼트리고 다닌다는 이유를 들어 골빈당을 잡으려는 음모를 꾸미는데…"
5,2067,2021,“반드시 구해낼 것이다”,"지구 종말이 도래하고, 산소가 중요한 화폐가 된 서기 2067년.‘타임머신’이라고 불리는 일명 ‘크로니컬’이 발명되고,407년 뒤, 2474년 미래에서 보낸 메시지가 도착한다.인류의 마지막 희망, 미래를 구해야만 한다"
6,300: 전사의 귀환,2021,,
7,365일: 비밀의 여자,2021,,
8,3개의 얼굴들,2021,,
9,438일,2021,스웨덴의 두 탐사보도전문기자의 실화! 자유의 억압에 저항한 438일의 기록!,"2011년 6월 28일 밤 스웨덴 기자 마틴과 요한은  소말리아에서 에티오피아로 불법 입국한다.  수개월에 걸친 탐사취재 끝에 마침내 석유전쟁에 의한  오가덴 지역 주민 피해의 실체를 밝히려던 순간, 에티오피아 군대에 의해 테러협의로 붙잡혀 징역 11년형을 선고받는데…  스웨덴 기자 마틴 시뷔에와 요한 페르손의 악몽 같은 실화"
10,461개의 도시락,2021,,
11,8년을 뛰어넘은 신부,2021,,
