개봉년도,제목,요약,줄거리,장르,국내외,감독,배우,포스터
2021,드림 스캐너,"경계를 넘는 순간, 
악몽은 현실이 된다!","악몽과 불면증에 시달리던 '세라'숙면에 대한 희망으로 대학 수면 임상시험에 참여하지만,악몽 속 검은 그림자는 여전히 그녀를 괴롭힌다.숙면을 미끼로 비밀리에 자신의 꿈을 스캔한다는 걸 알게 되지만그녀 역시 꿈속 그림자를 밝혀내기 위해 실험은 계속된다.꿈속 검은 그림자의 실체에 다가가게 되자그림자는 꿈이 아닌 현실에 모습을 드러내기 시작한다.과연 꿈속 그림자의 정체는 무엇인가?","SF, 스릴러",0.0,앤서니 스콧 번스,"줄리아 사라 스톤, 랜던 리보이론",https://movie-phinf.pstatic.net/20210422_77/1619056839177dJUMl_JPEG/movie_image.jpg?type=m203_290_2
2021,드림빌더,내 꿈을 만드는 누군가가 있다?,"자상한 아빠, 귀여운 햄스터 '비고'와 행복한 나날을 보내던 소녀 '미나'는 새로운 가족 ‘제니’의 등장으로평온하던 일상에 변화가 찾아오고 급기야 ‘비고’를 잃을 위기에 처한다.그러던 어느 날 밤, 우연히 꿈속 세상을 발견한 ‘미나’는 그곳에서 마치 영화처럼 꿈을 만드는 드림빌더를 만나게 되고,소중한 반려 햄스터 ‘비고’와 평온한 일상을 되찾기 위해 깜찍한 계획을 세우는데…모두가 잠든 밤,상상하는 모든 것이 이루어지는 꿈의 세계가 펼쳐진다!","애니메이션, 모험, 가족, 판타지",0.0,킴 하겐 젠슨,"[국내] 
						
							전체 관람가",https://movie-phinf.pstatic.net/20210107_98/1610010371111nd2e9_JPEG/movie_image.jpg?type=m203_290_2
2021,디 아더 사이드,"“똑. 똑. 똑. 누구 있어요?” 
북유럽 떨게 한 공포 실화, 아무도 살지 않는다는 그 곳에 누군가 있다!","남자친구 프레데리크, 그의 아들 루카스와 함께 시린은 새로운 집에 이사를 가게 된다.그러나 밤 마다 벽 너머로 기이한 소음이 들려오고,집 안을 배회하는 낯선 존재의 기척을 느낀다.결국 프레데리크가 자리를 비운 사이 검은 그림자가 두 사람을 위협하기 시작하고,시린은 정체불명의 존재로부터 루카스를 지켜야만 한다.",공포,0.0,"오스카 멜랜더, 토르트 다니엘슨","딜란 그윈, 라이너스 발그렌, 에디 에릭손 도밍구에스",https://movie-phinf.pstatic.net/20210318_250/1616032561538No4MS_JPEG/movie_image.jpg?type=m203_290_2
2021,디스 아메리카노,"“나 여기 목숨 걸었다!” 
영화감독지망생 수진의 첫 장편영화 제작기!","영화감독 지망생인 수진은 자신의 첫 장편영화를 성공적으로 완성하기 위해 노력한다.주변의 도움과 직접 모은 돈으로 제작하는 영화기에 제작비는 터무니없이 적다.수진은 피우던 담배마저 저렴한 ‘디스 오리지널’로 바꾸고, 배우였던 전 남자친구에게 주연배우를 부탁해가며 열심히 영화를 준비하는데...수진에게 청천벽력 같은 일이 일어난다!과연 수진은 성공적으로 영화를 완성시킬 수 있을까?",한국,0.0,권유주,"변세희, 한재하 ",https://movie-phinf.pstatic.net/20210714_291/1626247775905srH6P_JPEG/movie_image.jpg?type=m203_290_2
2021,디어 에반 핸슨,"제71회 토니상 6관왕, 전 세계가 사랑한 브로드웨이 뮤지컬 원작
,  제작진이 선사하는 힐링 뮤지컬!","자신감 제로, 존재감 제로, 어딜 가든 눈에 띄지 않는 소년 ‘에반 핸슨’은매일 스스로에게 편지를 쓰며 어제와 다른 특별한 하루를 꿈꾼다.어느 날, 자신에게 쓴 편지를 ‘코너’에게 빼앗긴 에반 핸슨.며칠 뒤 갑작스러운 코너의 죽음으로 인해자신의 편지를 코너의 유서로 오해하고 찾아온 그의 가족은 따뜻한 관심을 표하고누군가가 자신을 알아봐 주길 바라온 에반 핸슨은 그들의 따뜻함에얼떨결에 코너와의 우정과 추억에 대한 기억을 만들어내게 되며 모두의 마음을 움직이게 되는데…세상에 혼자 남겨진 것 같은 순간에반이 당신을 찾아갑니다.","뮤지컬, 드라마",0.0,스티븐 크보스키,"벤 플랫, 줄리안 무어, 에이미 아담스",https://movie-phinf.pstatic.net/20211013_44/1634090696216vDR6R_JPEG/movie_image.jpg?type=m203_290_2
2021,라라의 신비한 모험,"내 꿈은 슈퍼스타!
위험에 빠진 아빠와 캐틀힐 농장을 구해라!","오디션 프로그램에서 우승해서 슈퍼스타가 되는 것이 꿈인 라라.유명한 가수로 성공한 아빠를 찾아 시골마을 캐틀힐에 도착했지만,사실은 아빠가 농장에서 일한다는 사실을 알고 실망한다. 한편, 자꾸만 농장의 사과가 없어지는 것을 알게 된 라라는 고티와 함께 악당을 잡기 위한 기상천외한 계획을 세우게 되는데…",애니메이션,0.0,리스 오스볼,"김소희, 허성재, 김성화",https://movie-phinf.pstatic.net/20210303_134/1614738716985lnl4t_JPEG/movie_image.jpg?type=m203_290_2
2021,라스트 레터,단 한번이라도 당신에게 닿을 수 있을까요?,"언니의 죽음을 알리기 위해 그녀의 동창회에 참석한 동생 ‘지후아’자신을 언니 ‘지난’으로 착각하는 동창들에게 사실을 밝히지 못하고첫사랑 ‘인추안’과 연락처를 교환하게 된다.‘지후아’는 남편의 눈을 피해 발신주소 없이 언니인 척 ‘인추안’에게 편지를 보내고,‘지난’의 고향 주소를 알던 ‘인추안’은 ‘지난’의 집으로 답신을 하게 되는데…","멜로/로맨스, 드라마",0.0,이와이 슌지,"저우쉰, 친하오, 얀슈 우",https://movie-phinf.pstatic.net/20210125_145/1611566725865bNcCH_JPEG/movie_image.jpg?type=m203_290_2
2021,라스트 레터,"아직도, 사랑한다고 말하면 믿어줄래요?","닿을 수 없는 편지로그 시절, 전하지 못한 첫사랑의 기억과 마주한 이들의결코- 잊지 못할 한 통의 러브레터","멜로/로맨스, 드라마",0.0,이와이 슌지,"마츠 다카코, 히로세 스즈, 안노 히데아키",https://movie-phinf.pstatic.net/20210326_20/1616727664075P5xyx_JPEG/movie_image.jpg?type=m203_290_2
2021,라이더스 오브 저스티스,"최악의 열차 사고, 아내의 죽음 뒤 숨겨진 진실 
한 남자의 거침없고 잔혹한 복수가 마침내 폭발한다!","가족과 떨어진 채 지내던 현직 군인 마르쿠스(매즈 미켈슨)는 열차 사고로 갑작스럽게 아내를 잃고 실의에 빠져있던 중, 아내의 죽음에 얽힌 사고가 계획된 범죄였음을 알게 된다. 분노가 폭발한 마르쿠스는 범인들을 뒤쫓아 목숨을 건 추격전을 시작하고 자신만의 잔혹한 정의로 그들을 심판하기로 하는데…",액션,0.0,앤더스 토마스 옌센,"매즈 미켈슨, 니콜라이 리 코스, 라르스 브리그만",https://movie-phinf.pstatic.net/20210528_26/16221908172406snaw_JPEG/movie_image.jpg?type=m203_290_2
2021,라이브 하드,우리의 리듬은 빛나는 음악이 된다!,"갑자기 사라진 밴드 리더 ‘임재’를 하염없이 기다리는‘머저리밴드’의 드러머 ‘섭’과 베이시스트 ‘철’.블루스 음악을 꿈꾸지만 현실과 적당히 타협해 랩으로 생계를 유지하는 ‘덕규’두 뮤지션은 홍대 작은 라이브 카페 앞‘뮤지션을 찾습니다’ 문구가 적힌 간판을 보고라이브 클럽 공연에 서기 위해 오디션 현장을 찾는다.한 해가 얼마 남지 않은 겨울,그들에겐 단 한번의 공연이 절실하다! 청춘을 노래하는 사람들의‘진짜’ 무대 뒷이야기가 시작된다!",드라마,1.0,황욱,"크리스 라이언, 이재호, 갈치",https://movie-phinf.pstatic.net/20210217_212/1613547782783HzyCc_JPEG/movie_image.jpg?type=m203_290_2
2021,래시 컴 홈,"전 세계 베스트셀러 [돌아온 래시] 원작 
영화 역사상 가장 유명한 명견 ‘래시’가 전하는 2021년 새해 첫 감동!","서로의 가장 소중한 친구인 12살 소년 플로와 천재견 래시.아버지가 실직해 작은 집으로 이사하자 플로는 더 이상 반려견을 키울 수 없게 되고,래시는 다른 사람의 저택에 맡겨진다.갑작스러운 이별로 래시와 플로가 서로를 그리워하던 어느 날,돈에 눈이 먼 저택의 직원이 래시를 팔아 넘기려 하고, 래시는 이를 피해 도망친다.이 소식을 들은 플로는 래시를 찾기 위해 용감한 모험을 떠나는데…“약속해, 다신 혼자 두지 않을게”함께라서 행복한 플로와 래시의 눈부신 우정이 시작된다!","모험, 드라마, 가족",0.0,올더디센 하노,"세바스찬 베젤, 안나 마리아 뮈헤, 니코 마리츠카",https://movie-phinf.pstatic.net/20201229_111/1609224393371vs4SH_JPEG/movie_image.jpg?type=m203_290_2
2021,"러브 어페어 : 우리가 말하는 것, 우리가 하는 것","네 이야기를 들려줘 
내 이야기를 들려줄게",소설가를 꿈꾸는 막심은 시골 별장에서 휴가를 보내고 있는 사촌 형의 여자친구 다프네에게 자신의 복잡한 연애 이야기를 들려준다. 한편 막심의 이야기를 듣던 다프네 역시 남몰래 간직했던 자신의 연애담을 슬그머니 꺼내는데...,"드라마, 멜로/로맨스",0.0,엠마누엘 무레,"카멜리아 조다나, 니엘스 슈나이더, 빈센트 맥케인",https://movie-phinf.pstatic.net/20211026_79/1635212161547e0Aw2_JPEG/movie_image.jpg?type=m203_290_2
2021,레드 아워,"주어진 시간 60분, 생존을 건 탈출이 시작된다!",아동보호국에서 근무하는 카일은 아프가니스탄 파병지에서 동료를 잃었던 끔찍한 기억으로 힘든 나날을 보낸다.직장 동료와 맥시코 출신 미아 매니와 함께 계부이자 하원의원인 샘이 운영하는 넬슨 매장에 잠시 들렀던 카일은 매장 직원들 및 다른 고객들과 함께 자살폭탄 테러범의 인질이 된다.카일은 다른 인질들을 구하기 위해 테러범과 목숨을 건 싸움 끝에 테러범들을 제압하고 인질들과 함께 폭파 직전에 매장에서 탈출해야만 하는데...,"액션, 스릴러",0.0,존 키스,"타이레스 깁슨, 존 말코비치",https://movie-phinf.pstatic.net/20210923_101/1632377012095mnKGS_JPEG/movie_image.jpg?type=m203_290_2
